"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x387798015","x1149015589140213761",2019-07-10 18:00:38,"CallunaAilish","@CallunaAilish Financial resiliency for #LocalGov includes having policies in place to allow fema reimbursement, understanding different sources of recovery funds, and having a plan in place before disaster to access, track, and utilize. #nclgba19","Twitter for iPhone",139,,,,FALSE,TRUE,0,1,,,"LocalGov",,,,,,,,,,,,,"x89114709 x387798015","nclgba CallunaAilish","en",,,,,,,,,,,,,,,,"x1149013713019707393","@CallunaAilish Financial resiliency for #LocalGov includes having policies in place to allow fema reimbursement, understanding different sources of recovery funds, and having a plan in place before disaster to access, track, and utilize. #nclgba19",2019-07-10 17:53:11,"Twitter for iPhone",1,1,"x89114709","nclgba","NC Local Govt Budget",401,168,1683,"North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149015589140213761","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149298402917851136",2019-07-11 12:44:26,"CallunaAilish","One way of defining a high performance org. Audience includes things like accountability, willingness to learn and grow, and ability to escape inertia. #NCLGBA19 https://t.co/hs3PoKMTDw","Twitter for iPhone",161,,,,FALSE,FALSE,6,1,,,"NCLGBA19",,,,,"http://pbs.twimg.com/media/D_MgzXNWwAE2BMj.jpg","https://t.co/hs3PoKMTDw","https://twitter.com/CallunaAilish/status/1149298402917851136/photo/1","photo","http://pbs.twimg.com/media/D_MgzXNWwAE2BMj.jpg","https://t.co/hs3PoKMTDw","https://twitter.com/CallunaAilish/status/1149298402917851136/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149298402917851136","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149048698556600320",2019-07-10 20:12:12,"CallunaAilish","So excited to hear about the history of @nclgba and learn from the combined experience of 15 Past Presidents this afternoon at #nclgba19 https://t.co/TBsf9p9N7T","Twitter for iPhone",136,,,,FALSE,FALSE,9,2,,,"nclgba19",,,,,"http://pbs.twimg.com/media/D_I9stDXUAAj5FL.jpg","https://t.co/TBsf9p9N7T","https://twitter.com/CallunaAilish/status/1149048698556600320/photo/1","photo","http://pbs.twimg.com/media/D_I9stDXUAAj5FL.jpg http://pbs.twimg.com/media/D_I9stEXkAAcX5l.jpg http://pbs.twimg.com/media/D_I9stGXYAA1GOJ.jpg","https://t.co/TBsf9p9N7T https://t.co/TBsf9p9N7T https://t.co/TBsf9p9N7T","https://twitter.com/CallunaAilish/status/1149048698556600320/photo/1 https://twitter.com/CallunaAilish/status/1149048698556600320/photo/1 https://twitter.com/CallunaAilish/status/1149048698556600320/photo/1",,"x89114709","nclgba","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149048698556600320","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1148334651217289216",2019-07-08 20:54:50,"CallunaAilish","Check this post for all the last-minute logistics and details for #nclgba19! See all of you #LocalGov #budgeteers soon! 😎 https://t.co/d8AaFDAntW","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,"nclgba19 LocalGov budgeteers",,,,,,,,,,,,,"x89114709","nclgba","en",,,,,,,,,,,,,,,,"x1148334424267747328","Check this post for all the last-minute logistics and details for #nclgba19! See all of you #LocalGov #budgeteers soon! 😎 https://t.co/d8AaFDAntW",2019-07-08 20:53:56,"Twitter for iPhone",5,1,"x89114709","nclgba","NC Local Govt Budget",401,168,1683,"North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1148334651217289216","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149010787433877504",2019-07-10 17:41:33,"CallunaAilish","Long: Strong recovery requires financial resiliency on the personal and local government level. Can be challenging when financial literacy sometimes lacking for residents. #nclgba19","Twitter for iPhone",181,"x1149007209340243968","x387798015","CallunaAilish",FALSE,FALSE,1,0,,,"nclgba19",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149010787433877504","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149386641896890368",2019-07-11 18:35:04,"CallunaAilish","Morse summarizing positive psychology research: People function at their best when the ratio of positive to negative interactions is 3:1 #NCLGBA19","Twitter for iPhone",146,,,,FALSE,FALSE,3,1,,,"NCLGBA19",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149386641896890368","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149012443819053058",2019-07-10 17:48:08,"CallunaAilish","Long poses the question: why aren’t we and how can we change focus to mitigate and build up infrastructure to withstand disasters, rather than just focusing on rebuilding after the fact. #EmergencyPreparedness  #NCLGBA19","Twitter for iPhone",220,,,,FALSE,FALSE,2,3,,,"EmergencyPreparedness NCLGBA19",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149012443819053058","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149337952276897793",2019-07-11 15:21:36,"CallunaAilish","TIL that the combined property tax rate between munis and their county cannot go over $1.50/$100 assessed value. #NCLGBA19 https://t.co/MFKf0OEcf8","Twitter for iPhone",122,,,,FALSE,FALSE,4,0,,,"NCLGBA19",,,,,"http://pbs.twimg.com/tweet_video_thumb/D_NExJ8XoActI4C.jpg","https://t.co/MFKf0OEcf8","https://twitter.com/CallunaAilish/status/1149337952276897793/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/D_NExJ8XoActI4C.jpg","https://t.co/MFKf0OEcf8","https://twitter.com/CallunaAilish/status/1149337952276897793/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149337952276897793","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149381535189098497",2019-07-11 18:14:47,"CallunaAilish","Congratulations to our new Certified Budget and Evaluation Officers, four of whom were with us today! #NCLGBA19 https://t.co/5FiNEBf1OS","Twitter for iPhone",140,,,,FALSE,TRUE,0,1,,,"NCLGBA19",,,,,,,,,,,,,"x89114709","nclgba","en",,,,,,,,,,,,,,,,"x1149371504666337280","Congratulations to our new Certified Budget and Evaluation Officers, four of whom were with us today! #NCLGBA19 https://t.co/5FiNEBf1OS",2019-07-11 17:34:55,"Twitter for iPhone",11,1,"x89114709","nclgba","NC Local Govt Budget",401,168,1683,"North Carolina","Professional org for local govt budget professionals in NC. Promoting the budgeting profession through education, networking, advocacy.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149381535189098497","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
"x387798015","x1149056121304432640",2019-07-10 20:41:42,"CallunaAilish","@berthajohnson20, @steve_hawryluk, and Kirsten Larsen all touch on the importance of being involved with the @nclgba, taking advantage of networking at Conference, building relationships outside your organization. #nclgba19","Twitter for iPhone",223,"x1149055570311356419","x387798015","CallunaAilish",FALSE,FALSE,5,1,,,"nclgba19",,,,,,,,,,,,,"x2508051421 x221944834 x89114709","berthajohnson20 steve_hawryluk nclgba","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/CallunaAilish/status/1149056121304432640","Heather Curry","Winston-Salem, NC","Passionate about education, #localgov, and social policy. 🎓: Coe College and UNC MPA. #joyouslylive #bettertogether Pronouns: she/her",,FALSE,279,497,13,3362,8383,2011-10-09 17:53:00,FALSE,,,,"https://pbs.twimg.com/profile_banners/387798015/1532136931","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1036797299790438401/_LRf4ax9_normal.jpg"
